City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,nuuk,64.1835,-51.7216,1.34,93,75,6.17,GL,1682435268
84,iqaluit,63.7506,-68.5145,-1.15,100,100,2.06,CA,1682435047
85,saldanha,-33.0117,17.9442,17.26,71,0,5.53,ZA,1682435268
86,carlos chagas,-17.7031,-40.7664,26.17,68,98,2.93,BR,1682435021
87,amga,60.8953,131.9608,-6.54,97,100,1.08,RU,1682435268
88,ust-nera,64.5667,143.2,-11.03,98,77,1.78,RU,1682435268
89,isafjordur,66.0755,-23.124,0.02,55,20,7.72,IS,1682435269
90,west island,-12.1568,96.8225,26.99,78,75,7.72,CC,1682435269
91,iskateley,67.6803,53.1512,-2.46,85,11,6.12,RU,1682435269
92,weligama,5.9667,80.4167,26.93,81,100,0.7,LK,1682435130
93,chadron,42.8294,-102.9999,6.82,65,100,4.63,US,1682435269
94,cockburn town,21.4612,-71.1419,25.34,72,53,2.77,TC,1682435269
95,qamdo,31.1667,97.2333,-0.38,67,100,1.46,CN,1682435269
96,kruisfontein,-34.0033,24.7314,19.38,72,95,2.45,ZA,1682435270
97,chabahar,25.2919,60.643,24.4,74,47,9.02,IR,1682435270
98,tibiri,13.5627,7.0485,40.32,12,69,2.81,NE,1682435270
99,bethel,41.3712,-73.414,14.12,52,40,2.06,US,1682435270
100,cabo san lucas,22.8909,-109.9124,20.84,88,0,2.06,MX,1682435192
101,tazovsky,67.4667,78.7,-8.59,95,42,3.85,RU,1682435270
102,belmonte,-15.8631,-38.8828,27.12,72,49,2.89,BR,1682435270
103,susuman,62.7833,148.1667,-14.25,99,89,1.65,RU,1682435270
104,hithadhoo,-0.6,73.0833,28.95,73,100,4.48,MV,1682435270
105,igarka,67.4667,86.5833,0.22,100,100,0.96,RU,1682435270
106,okakarara,-20.5833,17.4333,29.47,28,22,3.97,NA,1682435271
107,camiri,-20.05,-63.5167,16.61,95,100,0.78,BO,1682435271
108,san martin,-33.081,-68.4681,21.41,43,28,4.01,AR,1682435271
